,0,1
123,[ 10.77464233 106.66014059   0.94556877   0.23478272],[ 10.77443723 106.66011183   0.94509606   0.23455401]
124,[ 10.7747723  106.66004467  -1.04654871  -0.56038701],[ 10.77469291 106.66058073  -1.04623949  -0.56000049]
125,[1.07747913e+01 1.06660066e+02 1.28429799e+00 4.46915256e-02],[1.07748859e+01 1.06660426e+02 1.28431861e+00 4.46078141e-02]
126,[ 10.77484168 106.66005684  -1.03361269   0.71023909],[ 10.77446699 106.65984962  -1.03392861   0.70989735]
127,[ 1.07745611e+01  1.06659881e+02 -5.66216322e-02 -1.27494084e+00],[ 1.07747734e+01  1.06660182e+02 -5.64497436e-02 -1.27473645e+00]
128,[ 1.07744097e+01  1.06659941e+02  1.59403685e-02 -1.26454888e+00],[ 1.07745446e+01  1.06659863e+02  1.62915479e-02 -1.26423259e+00]
129,[ 1.07747582e+01  1.06660249e+02  1.35609688e+00 -2.18563233e-02],[ 1.07742671e+01  1.06659772e+02  1.35597061e+00 -2.19210440e-02]
130,[ 1.07747068e+01  1.06660312e+02  1.40984346e+00 -6.43025800e-02],[ 1.07747692e+01  1.06659897e+02  1.40978431e+00 -6.41454535e-02]
131,[ 10.77452537 106.66006896   1.31105046  -0.37896363],[ 10.77367697 106.66043233   1.31104513  -0.37886682]
132,[ 10.77454507 106.66017606  -1.32833762  -0.1446485 ],[ 10.77471174 106.66017002  -1.32880207  -0.14404901]
133,[ 10.77452328 106.66034649  -0.16988451   1.32222196],[ 10.77449555 106.66048631  -0.16985575   1.32310923]
134,[ 10.7745451  106.66012956  -0.26621378   1.2888935 ],[ 10.77397972 106.66033177  -0.26600797   1.28884004]
135,[ 10.77420252 106.66019772   1.28687384  -0.31372118],[ 10.7743456  106.66063756   1.28664027  -0.31345436]
136,[ 1.07743548e+01  1.06660279e+02 -1.22611478e+00 -5.27260206e-02],[ 1.07740397e+01  1.06660654e+02 -1.22576629e+00 -5.27503373e-02]
137,[ 1.07744052e+01  1.06660120e+02 -7.87017089e-02 -8.92771364e-01],[ 1.07740403e+01  1.06659783e+02 -7.85480071e-02 -8.92865269e-01]
138,[ 10.77414244 106.66009759   0.92166335  -0.27083851],[ 10.77442625 106.66060139   0.92181434  -0.27179343]
139,[ 10.7743207  106.65999283  -0.94927082  -0.69201251],[ 10.77368904 106.66063237  -0.94956117  -0.69177607]
