__id__,accuracy,altitude,course,fixtime,latitude,longitude,speed
1ktlNhooY2d3T6fTaltx,14.14900016784668,5.200000286102295,113.01375579833984,2025-04-02T09:36:55.851370Z,10.775745,106.6600317,0.18732674419879913
1qHy3WhJnPwfg2pZAGRG,1.399999976158142,4.3,230.81918334960938,2025-04-02T09:47:54.808958Z,10.774285,106.6601418,0.8963204026222229
1rXFoBml5oLNEdet0So9,2.7330000400543213,-11.399999999999999,175.2550048828125,2025-04-02T10:00:01.788043Z,10.7620561,106.6605093,5.730686187744141
2AN8awmQqy3tn2ksGUlr,1.5,-5.1000000000000005,209.57456970214844,2025-04-02T09:50:44.807926Z,10.7726853,106.6588282,1.2196584939956665
2qsIiHNFjru0DMQsUrVI,1.5,-4.9,199.93470764160156,2025-04-02T09:50:14.819405Z,10.7730005,106.6590307,1.1956357955932617
3Wd2eX7gmfH0rqHSpB0x,1.4160000085830688,-3.9000000000000004,230.94155883789062,2025-04-02T09:49:54.827843Z,10.7731896,106.6591822,1.190460443496704
3Y48MkKqdf8hkBXY49C0,2.132999897003174,-2.6000000000000005,0,2025-04-02T10:02:32.822815Z,10.760475,106.6610233,4.477639497951621e-18
3ckmg6gYfaMY9IHzESaP,1.600000023841858,0.9999999999999998,155.52162170410156,2025-04-02T09:47:18.817143Z,10.7746397,106.6601663,1.264592170715332
41KiYRafZM5w6YA5SlZ6,10.97599983215332,5,224.5586395263672,2025-04-02T09:43:05.354277Z,10.7758031,106.6601822,2.283228874206543
41YxqMEX61tTA2sYmWSf,47.176998138427734,4.200000286102295,205.83050537109375,2025-04-02T09:56:57.254640Z,10.7700234,106.658526,0.8378607034683228
4A6TnJZky3Y5A3BZDjuk,1.600000023841858,5,240.66058349609375,2025-04-02T09:46:02.811069Z,10.7750854,106.6605053,1.1858702898025513
4CUbVXTotOUl3SOXOElN,2.4200000762939453,-5.2,161.24435424804688,2025-04-02T09:59:46.815074Z,10.7628319,106.6603364,3.4673452377319336
4QFzU8M1I8CRRSn3CXKy,14.741999626159668,5.200000286102295,55.93006134033203,2025-04-02T09:36:35.797771Z,10.7757326,106.6600479,1.072986125946045
4RgHtHNMAliQJHKvn0GX,1.6160000562667847,5,0,2025-04-02T09:45:50.797485Z,10.7751485,106.6606153,0.07541128247976303
4q56QjjIyNP7iS3dcUz5,1.6799999475479126,5,244.7747039794922,2025-04-02T09:46:06.804267Z,10.7750677,106.6604678,1.177754521369934
50dEqhp7iOE8VoDs3oYC,1.600000023841858,5,244.93496704101562,2025-04-02T09:46:01.792118Z,10.775091,106.6605154,1.1297810077667236
53uvcJMUO5N9AM9JDiHz,1.159999966621399,3.5,160.96417236328125,2025-04-02T09:58:46.822407Z,10.7643577,106.6598884,2.372187852859497
